id,title,release_date,poster_path,popularity,overview
666154,Kayara,2025-01-02,/tpZdjnoJ6Z3NsSxI6HjAIggrcEv.jpg,49.0464,"A courageous and athletic teenager, Kayara dreams that she is destined to be the first female to break into the league of Chasquis - the official messengers of the Incan empire. As she learns what it takes to be a Chasqui along with its challenges, she tackles every mission she gets and discovers the ancient stories of her land and her people."
1414272,Belyas,2025-02-07,/zPIaNQaQKtCIOs95x4GmaJ6omco.jpg,54.554,"Audrey Avila, Denise Esteban and Dani Yoshida star as sultry Belyas. A housewife who is tired of her controlling husband takes a different turn when two young prostitutes rent their apartment. As she befriends the two, she begins to admire the sexual freedom they have."
1017163,The Roundup: Punishment,2024-04-24,/yk38mNoJpsswmk9o7i7eLhO4mc.jpg,46.967,'Monster Cop' Ma Seok-do investigates an illegal online gambling business led by a former STS Baek and an IT genius CEO Chang. Ma proposes an unexpected alliance to Jang and begins hunting down the criminals.
1022787,Elio,2025-06-18,/w2ARwtc1zoh0pyfwmyhpZHwuXgK.jpg,46.7516,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be."
1379587,Utopia,2024-12-09,/yef0tY1Nw3BX8PJTfBLieqHj5Hw.jpg,45.9229,"A soldier searching for his missing wife breaks into a high-tech facility, believing she's been caught in a human trafficking ring. But beyond its walls, he finds a surreal, futuristic fantasy park where reality and illusion blur. As he navigates this seductive and dangerous world, a shocking truth pulls him deeper into a deadly game where nothing is as it seems."
1240475,Hunt the Wicked,2024-07-18,/m5UBHbEjQJx3AkRZWRY6A4l4ZDT.jpg,46.2688,"The film tells the story of narcotics police officer Huang Mingjin and the ""mysterious figure"" Wei Yunzhou. Through completely different means and methods, in the process of calculating and wrestling with each other, they tear apart the facade of urban tranquility, exposing the underground drug network woven by the hidden hand ""Long Wang"", and ultimately eradicate the darkness with the sword of justice, revealing the dawn of light."
1289601,Life After Fighting,2024-06-07,/uKWAk4BHzyEOMmLKUDXoIAPhH36.jpg,45.3559,"Retired martial arts world champion Alex Faulkner has settled into a simple life, when the disappearance of two of his students leads to an unthinkable discovery close to home. Just when all hope of finding the children is lost, he locates the imprisoned girls and unsurfaces an international child trafficking operation, which draws him back into the fight of his life against those behind it."
1408248,Squid Game: Fireplace,2024-12-12,/cIIMvxLztRs1MbXH0oqaw3SGV0q.jpg,38.2646,"Come share a toast in the Front Man's lair — but tread carefully, for you’re playing with fire."
1022789,Inside Out 2,2024-06-11,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,45.3053,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone."
1315988,Mikaela,2025-01-31,/xG8olkWOmoW78GbozKbS2UxYGEo.jpg,44.287,"During the eve of the 6th of January, a record-breaking snowstorm sweeps across Spain. In the midst of its chaos, a group of robbers seizes the opportunity to hijack an armoured van. A few meters away is Leo, a finished policeman who has nothing to lose. With the unexpected aid of a young woman, he will try to stop the band from running away with their loot."
1232546,Until Dawn,2025-04-23,/juA4IWO52Fecx8lhAsxmDgy3M3.jpg,42.0946,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening."
170,28 Days Later,2002-10-31,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,43.5644,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain."
617126,The Fantastic Four: First Steps,2025-07-23,/x26MtUlwtWD26d0G0FXcppxCJio.jpg,43.4426,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer."
950396,The Gorge,2025-02-13,/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg,43.1265,"Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within."
519182,Despicable Me 4,2024-06-20,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,41.7406,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run."
